time,x,y,velocity_x,velocity_y,acceleration_x,acceleration_y,theta,firing
13.1,8.04326,-1.95457,-0.0692422,0.282949,-0.298885,-0.265834,0.726939,1
13.2,8.03455,-1.92718,-0.104994,0.26501,-0.357518,-0.17939,0.465059,1
13.3,8.02208,-1.90099,-0.144486,0.258656,-0.394922,-0.0635371,0.159518,1
13.4,8.00566,-1.87477,-0.18384,0.265816,-0.393541,0.071593,-0.179952,1
13.5,7.98556,-1.84716,-0.218137,0.2864,-0.342969,0.205845,-0.540556,1
13.6,7.96252,-1.81694,-0.242779,0.317908,-0.246422,0.315081,-0.907073,1
13.7,7.93763,-1.78325,-0.254885,0.356032,-0.121061,0.38124,-1.26332,1
13.8,7.91219,-1.74564,-0.253954,0.396021,0.00931018,0.399892,-1.59407,1
13.9,7.88742,-1.70414,-0.241525,0.434041,0.124295,0.380198,-1.88677,1
14,7.86433,-1.65904,-0.220223,0.467897,0.213018,0.33856,-2.1324,1
14.1,7.84368,-1.6108,-0.19282,0.497036,0.274029,0.29139,-2.3255,1
14.2,7.82595,-1.55984,-0.161674,0.522134,0.311462,0.250981,-2.46331,1
14.3,7.81144,-1.5065,-0.128589,0.544616,0.330847,0.224812,-2.54476,1
14.4,7.79858,-1.45204,-0.128589,0.544616,0,0,-2.56939,0
14.5,7.78572,-1.39758,-0.128589,0.544616,0,0,-2.56562,0
14.6,7.77286,-1.34312,-0.128589,0.544616,0,0,-2.56221,0
14.7,7.76001,-1.28865,-0.128589,0.544616,0,0,-2.55917,0
14.8,7.74715,-1.23419,-0.128589,0.544616,0,0,-2.5565,0
14.9,7.73429,-1.17973,-0.128589,0.544616,0,0,-2.55419,0
15,7.72143,-1.12527,-0.128589,0.544616,0,0,-2.55225,0
15.1,7.70857,-1.07081,-0.128589,0.544616,0,0,-2.55066,0
15.2,7.69571,-1.01635,-0.128589,0.544616,0,0,-2.54943,0
15.3,7.68285,-0.961884,-0.128589,0.544616,0,0,-2.54852,0
15.4,7.66999,-0.907423,-0.128589,0.544616,0,0,-2.54794,0
15.5,7.65713,-0.852961,-0.128589,0.544616,0,0,-2.54767,0
15.6,7.64427,-0.798499,-0.128589,0.544616,0,0,-2.54768,0
15.7,7.63142,-0.744038,-0.128589,0.544616,0,0,-2.54796,0
15.8,7.61856,-0.689576,-0.128589,0.544616,0,0,-2.54848,0
15.9,7.6057,-0.635115,-0.128589,0.544616,0,0,-2.54923,0
16,7.59284,-0.580653,-0.128589,0.544616,0,0,-2.55017,0
16.1,7.57998,-0.526192,-0.128589,0.544616,0,0,-2.55129,0
16.2,7.56712,-0.47173,-0.128589,0.544616,0,0,-2.55256,0
16.3,7.55426,-0.417268,-0.128589,0.544616,0,0,-2.55394,0
16.4,7.5414,-0.362807,-0.128589,0.544616,0,0,-2.55542,0
16.5,7.52854,-0.308345,-0.128589,0.544616,0,0,-2.55695,0
16.6,7.51569,-0.253884,-0.128589,0.544616,0,0,-2.55852,0
16.7,7.50283,-0.199422,-0.128589,0.544616,0,0,-2.5601,0
16.8,7.48997,-0.144961,-0.128589,0.544616,0,0,-2.56164,0
